    距离（m）       方位(度)        俯仰（度）         时间（s）   传感器标号 
  6.1709257e+004  2.9025749e+001  2.8113635e-001  3.6620400e+004         1
  6.1566089e+004  2.9298999e+001  1.8411389e-001  3.6621400e+004         1
  6.1556807e+004  3.0005196e+001  3.9184353e-001  3.6622400e+004         1
  6.1363009e+004  3.0240173e+001  3.4887902e-001  3.6623400e+004         1
  6.1365556e+004  2.9778269e+001  1.6884355e-001  3.6624400e+004         1
  6.1151310e+004  2.9455560e+001  1.4172489e+000  3.6625400e+004         1
  6.0924038e+004  2.9627955e+001  3.4168897e-001  3.6627400e+004         1
  6.0817721e+004  2.9077318e+001 -1.6447141e-001  3.6628400e+004         1
  6.0801700e+004  3.0225009e+001  3.6579707e-001  3.6629400e+004         1
  6.0656470e+004  3.0424156e+001 -1.2408057e-001  3.6630400e+004         1
  6.0536258e+004  2.9980347e+001  6.4441987e-001  3.6631400e+004         1
  6.0421505e+004  3.0653464e+001  6.9032162e-001  3.6632400e+004         1
  6.0366631e+004  3.0096935e+001  3.0829764e-001  3.6633400e+004         1
  6.0278270e+004  3.0549093e+001  1.0437633e+000  3.6634400e+004         1
  6.0164889e+004  3.0503457e+001  5.0976442e-001  3.6635400e+004         1
  6.0122813e+004  3.0411065e+001  4.9408007e-001  3.6636400e+004         1
  5.9988535e+004  2.9946802e+001  3.7855374e-001  3.6637400e+004         1
  5.9848930e+004  3.1031853e+001  9.6555559e-002  3.6638400e+004         1
  5.9739829e+004  2.9925441e+001  3.7306364e-001  3.6639400e+004         1
  5.9751579e+004  3.0332015e+001  2.7023885e-002  3.6640400e+004         1
  5.9297356e+004  3.0364824e+001  3.9771819e-001  3.6643400e+004         1
  5.9258401e+004  3.0757517e+001  6.1911631e-001  3.6644400e+004         1
  5.9122627e+004  3.0321449e+001  2.6125193e-001  3.6645400e+004         1
  5.9068973e+004  2.9444259e+001  2.8332541e-001  3.6646400e+004         1
  5.8913075e+004  3.1067773e+001  6.0779740e-001  3.6647400e+004         1
  5.8873316e+004  3.0106920e+001  4.3514043e-001  3.6648400e+004         1
  5.8660861e+004  3.0517587e+001  4.5842339e-001  3.6650400e+004         1
  5.8576880e+004  3.0701812e+001  3.7672340e-001  3.6651400e+004         1
  5.8459402e+004  3.1066373e+001  8.7206445e-001  3.6653400e+004         1
  5.8213995e+004  3.0860865e+001  6.4123824e-001  3.6654400e+004         1
  5.8162204e+004  3.0528061e+001  4.9847207e-001  3.6655400e+004         1
  5.8049635e+004  3.1487721e+001  8.7414341e-001  3.6656400e+004         1
  5.7940315e+004  3.0718662e+001 -5.7413434e-002  3.6657400e+004         1
  5.7821136e+004  3.1116464e+001  8.3526055e-001  3.6658400e+004         1
  5.7731826e+004  3.1680866e+001  8.4228061e-001  3.6659400e+004         1
  5.7572462e+004  3.0962798e+001  9.4677418e-001  3.6660400e+004         1
  5.7497896e+004  3.0486905e+001  8.7768291e-001  3.6661400e+004         1
  5.7390837e+004  3.1281488e+001 -5.2542695e-001  3.6662400e+004         1
  5.7172348e+004  3.0425882e+001  5.0071775e-001  3.6663400e+004         1
  5.7193391e+004  3.1668548e+001  8.1163401e-001  3.6664400e+004         1
  5.7085909e+004  3.1482436e+001  7.9890647e-001  3.6665400e+004         1
  5.6998808e+004  3.1434053e+001  4.0979542e-001  3.6666400e+004         1
  5.6738121e+004  3.1329860e+001 -3.8868989e-002  3.6667400e+004         1
  5.6767076e+004  3.1907055e+001  6.4494877e-002  3.6668400e+004         1
  5.6631847e+004  3.1505313e+001  5.9262719e-001  3.6669400e+004         1
  5.6468937e+004  3.1596825e+001 -3.7922458e-001  3.6670400e+004         1
  5.6236523e+004  3.1657421e+001 -9.3214248e-002  3.6672400e+004         1
  5.6159602e+004  3.2676037e+001  9.3651090e-001  3.6673400e+004         1
  5.6100817e+004  3.1291699e+001  3.8219826e-001  3.6674400e+004         1
  5.6007456e+004  3.1787861e+001  1.1179070e+000  3.6675400e+004         1
  5.5877982e+004  3.2209221e+001  5.2470939e-001  3.6676400e+004         1
