   距离（米）   方位（度）  仰角（度）   时间（秒） 传感器标号
   84626.83       89.99        1.74        0.10       1
   85016.58       89.50        3.07        0.70       1
   84757.39       90.34        1.50        1.30       1
   84876.82       89.28        2.98        1.90       1
   84495.60       88.93        2.13        2.50       1
   84588.94       90.56        1.47        2.60       1
   84678.27       89.03        2.35        3.10       1
   84653.03       91.09        2.07        3.20       1
   84608.30       89.16        2.40        3.70       1
   84487.91       90.83        2.21        3.80       1
   84650.77       89.20        3.18        4.30       1
   84481.58       90.95        2.01        4.40       1
   84506.71       88.63        2.73        4.90       1
   84503.82       90.93        1.85        5.00       1
   84345.10       88.86        2.50        5.50       1
   84498.46       91.12        1.73        5.60       1
   84462.81       88.42        2.94        6.10       1
   84487.43       91.26        2.39        6.20       1
   84282.61       89.00        2.22        6.70       1
   84343.60       91.25        1.46        6.80       1
   84168.12       88.05        2.39        7.30       1
   84124.65       91.12        2.22        7.40       1
   84114.51       88.70        2.47        7.90       1
   84082.98       91.36        1.97        8.00       1
   84097.89       88.28        2.17        8.50       1
   84098.73       91.58        2.32        8.60       1
   84324.12       88.50        2.50        9.10       1
   83986.14       91.90        2.17        9.20       1
   83988.36       88.54        2.14        9.70       1
   83947.30       91.86        2.04        9.80       1
   84041.04       89.01        2.51       10.30       1
   84041.83       92.33        1.45       10.40       1
   83851.23       88.22        2.51       10.90       1
   83830.29       92.14        1.74       11.00       1
   83874.20       88.17        2.62       11.50       1
   83699.93       92.75        2.43       11.60       1
   83612.47       87.13        2.50       12.10       1
   83724.12       92.35        2.17       12.20       1
   83630.78       87.27        2.19       12.70       1
   83704.94       92.33        1.83       12.80       1
   83636.01       87.81        2.59       13.30       1
   83589.13       92.29        2.37       13.40       1
   83533.82       87.34        2.52       13.90       1
   83634.73       92.47        2.29       14.00       1
   83624.88       86.94        2.61       14.50       1
   83650.41       92.66        1.79       14.60       1
   83678.89       87.38        2.09       15.10       1
   83410.13       92.39        1.80       15.20       1
   83392.47       87.34        2.38       15.70       1
   83539.72       93.41        1.86       15.80       1
   83462.47       87.55        2.29       16.30       1
   83125.61       92.82        1.95       16.40       1
   83379.00       86.71        2.50       16.90       1
   83196.12       92.79        1.83       17.00       1
   83171.25       86.41        2.25       17.50       1
   83149.98       93.23        1.86       17.60       1
   83179.10       86.38        2.39       18.10       1
   83146.84       92.85        1.61       18.20       1
   83259.69       86.55        2.56       18.70       1
   83319.15       93.15        2.55       18.80       1
   82955.22       86.40        2.19       19.30       1
   83083.82       93.17        2.23       19.40       1
   82900.12       86.48        2.78       19.90       1
   82796.37       93.43        2.12       20.00       1
   83097.30       86.52        2.53       20.50       1
   82962.92       93.45        2.34       20.60       1
   83038.15       86.30        2.75       21.10       1
   83107.85       93.42        2.04       21.20       1
   82876.77       86.61        2.52       21.70       1
   83073.57       94.20        1.70       21.80       1
   82835.08       86.29        2.22       22.30       1
   82953.45       94.24        2.10       22.40       1
   82760.81       86.25        2.72       22.90       1
   83028.48       94.08        2.27       23.00       1
   82582.15       85.05        2.07       23.50       1
   82733.63       94.01        2.16       23.60       1
   82613.32       85.59        2.47       24.10       1
   82807.93       94.13        1.45       24.20       1
   82635.27       86.01        2.39       24.70       1
   82714.91       94.16        2.37       24.80       1
   82384.83       85.72        2.30       25.30       1
   82568.68       94.96        2.23       25.40       1
   82329.71       85.52        1.92       25.90       1
   82623.92       94.49        2.09       26.00       1
   82306.66       85.56        2.53       26.50       1
   82367.41       94.47        2.02       26.60       1
   82268.18       85.04        2.34       27.10       1
   82265.35       94.30        2.51       27.20       1
   82366.22       84.69        2.71       27.70       1
   82415.94       94.52        1.99       27.80       1
   82241.26       85.33        2.53       28.30       1
   82287.06       95.30        2.53       28.40       1
   82142.84       84.95        2.28       28.90       1
   82075.73       94.95        2.28       29.00       1
   82081.10       84.88        2.07       29.50       1
   82147.27       95.07        2.24       29.60       1
   82114.17       85.05        2.02       30.10       1
   82287.11       94.65        1.84       30.20       1
   82162.00       85.33        1.95       30.70       1
   82010.91       94.82        1.78       30.80       1
   82064.22       84.44        2.18       31.30       1
   81803.95       96.11        2.46       31.40       1
   81910.62       84.44        2.12       31.90       1
   82050.49       96.01        2.20       32.00       1
   81862.22       84.80        2.06       32.50       1
   81916.33       95.34        2.26       32.60       1
   81986.77       83.67        2.33       33.10       1
   81828.66       95.07        2.51       33.20       1
   81586.90       84.39        2.39       33.70       1
   81847.81       95.65        2.37       33.80       1
   81725.11       83.88        2.58       34.30       1
   81713.87       95.78        2.15       34.40       1
   81692.56       84.16        2.29       34.90       1
   81733.86       96.25        2.31       35.00       1
   81840.76       84.13        2.59       35.50       1
   81703.65       96.05        2.05       35.60       1
   81673.15       83.60        2.69       36.10       1
   81650.31       95.76        2.13       36.20       1
   81554.06       83.77        2.36       36.70       1
   81716.70       96.06        1.94       36.80       1
   81537.40       83.32        2.61       37.30       1
   81474.72       96.47        2.67       37.40       1
   81259.03       83.40        2.12       37.90       1
   81193.30       96.32        2.31       38.00       1
   81254.22       82.76        2.02       38.50       1
   81267.15       95.94        2.16       38.60       1
   81299.45       83.69        2.46       39.10       1
   81238.31       96.76        1.99       39.20       1
   81273.47       83.49        2.66       39.70       1
   80930.83       96.91        1.62       39.80       1
   81104.50       83.58        2.06       40.30       1
   81316.15       97.05        2.04       40.40       1
   81096.50       82.75        2.53       40.90       1
   81056.23       96.47        2.45       41.00       1
   80884.22       83.17        2.05       41.50       1
   80897.67       96.94        1.57       41.60       1
   80823.38       82.87        2.76       42.10       1
   80679.54       96.92        2.05       42.20       1
   80459.76       83.29        2.51       42.70       1
   80487.60       97.06        2.15       42.80       1
   80575.79       83.15        2.14       43.30       1
   80550.18       97.17        2.28       43.40       1
   80439.00       83.11        2.77       43.90       1
   80218.82       97.53        2.16       44.00       1
   80327.73       82.48        2.32       44.50       1
   80110.96       97.29        2.28       44.60       1
   79977.09       82.56        1.98       45.10       1
   80148.40       97.25        2.06       45.20       1
   79863.02       82.68        2.42       45.70       1
   80019.86       97.36        2.44       45.80       1
   79816.73       82.01        2.61       46.30       1
   79814.36       96.81        1.70       46.40       1
   79630.04       82.84        2.44       46.90       1
   79576.60       97.37        2.42       47.00       1
   79579.36       82.72        2.55       47.50       1
   79430.55       97.58        2.26       47.60       1
   79427.96       81.59        2.65       48.10       1
   79204.17       97.42        2.44       48.20       1
   79256.39       82.74        2.29       48.70       1
   79182.21       97.83        2.24       48.80       1
   79178.36       82.67        2.79       49.30       1
   78954.93       97.51        2.11       49.40       1
   78789.82       82.16        2.67       49.90       1
   78893.83       97.96        2.44       50.00       1
   78728.77       82.40        2.51       50.50       1
   78575.58       97.55        2.58       50.60       1
   78798.35       82.28        2.74       51.10       1
   78585.35       97.39        2.31       51.20       1
   78576.38       82.74        2.42       51.70       1
   78550.55       97.04        2.34       51.80       1
   78298.78       82.92        2.52       52.30       1
   78291.23       97.44        1.78       52.40       1
   78263.79       82.67        2.81       52.90       1
   78179.56       97.42        2.08       53.00       1
   77963.82       82.80        2.69       53.50       1
   78128.46       96.84        2.71       53.60       1
   77912.36       82.94        3.09       54.10       1
   77873.15       97.36        2.12       54.20       1
   77882.18       82.70        2.78       54.70       1
   77633.54       96.48        2.51       54.80       1
   77759.55       83.35        2.94       55.30       1
   77551.57       96.80        1.99       55.40       1
   77640.83       83.01        2.46       55.90       1
   77387.42       97.02        2.04       56.00       1
   77382.36       82.37        3.43       56.50       1
   77307.05       96.89        2.43       56.60       1
   77362.28       83.29        2.50       57.10       1
   77298.47       96.72        2.50       57.20       1
   77151.98       83.54        2.34       57.70       1
   77013.64       96.69        2.46       57.80       1
   77162.65       82.78        3.50       58.30       1
   76956.58       96.68        1.93       58.40       1
   77046.77       83.31        2.68       58.90       1
   76883.63       97.00        2.10       59.00       1
   76949.07       83.30        2.80       59.50       1
   76830.77       96.19        2.24       59.60       1
   76733.44       83.46        2.10       60.10       1
