  距离（米）    方位（度）   仰角（度）  时间（秒） 传感器标号 
 1368789.77      282.96       -0.28    14466.00      1
 1367157.91      282.46        0.87    14467.00      1
 1365027.67      282.20        0.12    14468.00      1
 1363342.47      282.29       -0.10    14469.00      1
 1361658.10      282.40        0.53    14470.00      1
 1359859.18      282.73        0.69    14471.00      1
 1358045.37      282.64        0.78    14472.00      1
 1356156.02      282.38        1.03    14473.00      1
 1354554.31      282.78        1.76    14474.00      1
 1352620.80      282.42        1.03    14475.00      1
 1350885.77      282.31        1.51    14476.00      1
 1349123.10      282.31        1.07    14477.00      1
 1347208.52      282.63        1.48    14478.00      1
 1345606.51      282.41        1.14    14479.00      1
 1343819.19      282.29        2.11    14480.00      1
 1342092.76      282.46        2.01    14481.00      1
 1340140.34      282.97        1.59    14482.00      1
 1338454.50      282.37        1.27    14483.00      1
 1336535.40      282.12        1.96    14484.00      1
 1334749.20      282.15        2.23    14485.00      1
 1332999.32      282.87        2.24    14486.00      1
 1331229.05      282.31        2.18    14487.00      1
 1329507.98      282.55        2.13    14488.00      1
 1327773.98      282.43        2.72    14489.00      1
 1326267.05      282.88        2.66    14490.00      1
 1324198.01      282.67        2.77    14491.00      1
 1322471.47      283.01        2.50    14492.00      1
 1320703.03      282.54        2.83    14493.00      1
 1319071.47      283.58        3.06    14494.00      1
 1317348.45      282.91        2.43    14495.00      1
 1315435.89      282.89        3.25    14496.00      1
 1313694.63      282.64        2.92    14497.00      1
 1312019.82      282.94        3.55    14498.00      1
 1310128.58      283.16        3.80    14499.00      1
 1308325.55      282.00        3.63    14500.00      1
 1306723.51      282.67        3.74    14501.00      1
 1304917.63      282.24        3.51    14502.00      1
 1303281.24      282.56        3.59    14503.00      1
 1301502.71      282.89        4.10    14504.00      1
 1299748.35      282.43        4.32    14505.00      1
 1297986.25      282.52        4.22    14506.00      1
 1296382.65      282.53        4.43    14507.00      1
 1294668.74      282.21        4.51    14508.00      1
 1292992.61      282.62        4.12    14509.00      1
 1291319.64      282.75        4.17    14510.00      1
 1289351.98      282.27        4.32    14511.00      1
 1287635.40      282.82        4.65    14512.00      1
 1286086.39      283.20        4.57    14513.00      1
 1284312.64      283.13        4.75    14514.00      1
 1282282.07      282.52        4.85    14515.00      1
 1280841.28      282.39        5.15    14516.00      1
 1278967.14      282.40        4.92    14517.00      1
 1277250.30      282.20        5.09    14518.00      1
 1275540.12      282.75        5.14    14519.00      1
 1273879.39      282.27        5.41    14520.00      1
 1272160.46      282.28        5.07    14521.00      1
 1270585.47      282.54        5.78    14522.00      1
 1268960.42      282.49        6.20    14523.00      1
 1266910.55      282.49        5.59    14524.00      1
 1265356.69      282.42        6.07    14525.00      1
 1263488.88      282.67        6.37    14526.00      1
 1261704.60      282.58        6.15    14527.00      1
 1260323.14      282.82        6.30    14528.00      1
 1258510.09      282.52        6.55    14529.00      1
 1256904.53      282.69        6.71    14530.00      1
 1255297.30      282.39        6.44    14531.00      1
 1253386.97      283.11        6.66    14532.00      1
 1251908.49      283.08        6.29    14533.00      1
 1249992.16      282.89        6.55    14534.00      1
 1248436.80      283.03        6.87    14535.00      1
 1246567.64      282.96        7.23    14536.00      1
 1245163.05      282.78        7.22    14537.00      1
 1243041.41      281.85        6.76    14538.00      1
 1241521.98      282.62        7.30    14539.00      1
 1239727.50      282.50        7.35    14540.00      1
 1238252.46      282.65        6.77    14541.00      1
 1236406.65      283.02        7.45    14542.00      1
 1234817.80      282.59        7.87    14543.00      1
 1232815.51      282.84        7.54    14544.00      1
 1231331.94      283.29        7.91    14545.00      1
 1229421.60      282.74        7.34    14546.00      1
 1228049.36      282.73        7.95    14547.00      1
 1226061.46      282.88        8.14    14548.00      1
 1224456.63      282.62        8.06    14549.00      1
 1222687.40      282.47        8.12    14550.00      1
 1221019.78      282.36        8.73    14551.00      1
 1219451.21      282.22        8.68    14552.00      1
 1217836.82      282.49        8.39    14553.00      1
 1215993.14      282.97        8.67    14554.00      1
 1214375.42      283.17        9.11    14555.00      1
 1212562.57      282.69        8.60    14556.00      1
 1210832.45      282.74        9.04    14557.00      1
 1209169.44      282.72        8.57    14558.00      1
 1207572.99      282.76        9.18    14559.00      1
 1205871.68      283.00        8.69    14560.00      1
 1204382.32      282.25        8.95    14561.00      1
 1202589.09      283.38        8.80    14562.00      1
 1200775.90      282.32        9.07    14563.00      1
 1199161.08      282.60        9.21    14564.00      1
 1197238.84      283.52        9.93    14565.00      1
 1195677.26      282.70        9.33    14566.00      1
