marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	21879631	RY52KZABZK8QF	B0052G14E8	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	1	0	0	N	Y	Do not recommend it. go use your money for something more ...	3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.	8/31/2015
US	14964566	R3GCOEV4HYZG2I	B0055UBB4O	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	5	0	0	N	Y	Looks as good as the picture	Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.	8/31/2015
US	13230389	R1V2OPPNL0QGCE	B0052G14E8	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	4	0	0	N	Y	Four Stars	"Very nice microwave, great price"	8/31/2015
US	43655888	R9Q0QDTLKV567	B004ZU09QQ	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	3	0	1	N	Y	quiet	"Quiet, but does not seem like 1000 watt power."	8/31/2015
US	117794	R3DL7HYC3QTWNI	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	4	0	0	N	Y	Four Stars	It's bigger than I thought.	8/31/2015
US	16018452	R3M88678ZYC6WI	B004ZU09QQ	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	5	0	0	N	Y	Great Microwave	Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.	8/31/2015
US	50761053	R2G20T7N6L3HO1	B001QFYDSI	295520151	sharp microwave drawer oven	Major Appliances	1	0	0	N	N	Stopped working after 2 years	We bought this microwave 2 years ago as part of a home remodel. It was great while it worked but recently stopped working. Sharp warranty is only 1 year. For the amount of money we spent on this I would expect it to last more than 2 years.	8/30/2015
US	21924164	R29F0E6EJJCEEM	B004ZUWBVW	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	4	0	0	N	Y	Was pleased with the packaging and easy instructions to set it ...	Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.	8/29/2015
US	18672427	R1WU4A3QFKJ0HT	B0052G14E8	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	5	0	0	N	Y	Great Value for the Money.	Neat little unit. I have no complaints.	8/29/2015
US	3159360	R2Q061UH1EJHIJ	B007V7G5TU	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	2	1	1	N	Y	It had great reviews when we ordered it	"The finish is nice and matches our stainless steel/black wall oven nicely. However, the button to open the door no longer opens on the first try or needs some help. And occasionally something internal to the microwave makes a noise when the tray is rotating."	8/28/2015
US	12458936	R2F0TUS62C3ZCN	B0052G14E8	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	5	0	0	N	Y	Great little microwave!	"Excellent small microwave!  I recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  This microwave was perfect for it.  Its footprint is small, however it packs a punch.  All my plates fit it and cooks everything evenly.  The only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but I'm not going to fault it for that, I just simply put my other hand on top of it while opening/closing."	8/28/2015
US	39416583	R2X9MN0B0MVUZT	B0052G14E8	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	4	0	0	N	Y	Four Stars	Works Really Well	8/27/2015
US	31487975	R35P4D0NHKAGKE	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	1	1	N	Y	Five Stars	Love this microwave!  Gives me more space in my kitchen. ..only con is the price.	8/27/2015
US	26976013	R2V6PXBBC9ZPKZ	B004NXUJ60	523301568	microwave cavity paint 98qbp0302	Major Appliances	3	0	1	N	Y	I never used this for my wife insisted we buy ...	I never used this for my wife insisted we buy a new microwave after I bought this. I did contact GE and they gave me a 20$ credit  and said not to worry about  paint peeling off. Tell that to your wife! That was OK because I read some reviews which made it sound alittle difficult to use.	8/27/2015
US	43393377	R1MTXPHNTE0OEM	B007XZ8FNO	565072108	lg over-the-range microwave oven with 300 cfm venting system	Major Appliances	1	3	3	N	N	"This device needs to be recalled, deaths are going to occur."	"We are currently on the third microwave from LG. The first microwave failed after 2 weeks.  It took 2 weeks for LG to get us a new microwave.  The next microwave lasted 11 months.  It went out on thanksgiving, we bought a 69.00 off brand microwave, it has worked perfectly for last 18 months. The LG failed again after 18 months.  Lowes and Home Depot should replace microwave.  Reading the blog, I have never had a brand of microwave failed this often.  I am going to take LG to court.  They have to know there is a major problem, if so many failures, yet they continued producing this worthless piece of junk.  This appears to be another bean counter situation, cheaper to give new machine and fix damage, than recall product."	8/26/2015
US	51425093	RR48906IDDC7R	B00NXRHIO8	692404913	samsung counter top microwave	Major Appliances	5	1	1	N	Y	... for about a week and so far it's been great; the microwaving powder is quite strong	"Had this for about a week and so far it's been great; the microwaving powder is quite strong; but the grill plate is too high for some bulkier food, that would be my only complain."	8/25/2015
US	46888195	R3BRGLMPYWFS2N	B00NQFSSWS	692404913	samsung counter top microwave	Major Appliances	1	5	7	N	Y	I only got to use the grill feature once and it was fun.	the microwave turntable and light would come by itself and sometimes when you closed the door.  At first we were able to cook with the microwave but eventually it got to where I couldn't get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating.  So sadly we had to send it back.  I only got to use the grill feature once and it was fun.	8/25/2015
US	7686469	R1FB7BN6Z0L3XO	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	1	2	N	Y	This is a funny story.	"This is a funny story....years ago my husband found one of these cube microwaves at a garage sale for $25.00!  It was perfect for our daughter as she has an extremely SMALL kitchen with very little counter space etc.  Recently I moved to a older home, new home to me with lots of charm and very little counter space. No room for an over the range microwave. My new little Whirlpool Cube fits perfectly into the corner space of my new little kitchen!  Love it, Love it, Love it....however $25.00 would have been an easier price on the pocket book! LOL"	8/24/2015
US	46694531	R3U4EMQXXN5ZWA	B008MD2RH6	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	4	0	0	N	Y	Love to nuke	"Good price, has continued to work very well since December 2014 (8 months). My only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center. It therefore makes a rattling sound as the gear turns. I don't see what could cause the loose fit. Nevertheless, the carousel does turn, just not very quietly.<br /><br />Otherwise, great buy. It is still easy to clean. I love using the 1, 2 and 3 settings for one-touch cooking times of 1, 2 or 3 minutes. I really like being able to turn the microwave on for 30 seconds by simply touching &#34;Start&#34; one time. Some people have complained that the door is hard to open so that when the large &#34;open&#34; button is pushed, the entire microwave moves, but I have not had that experience. I seldom use the programmed settings for vegetables, popcorn, potato, etc. I had a bad experience burning a minibag of popcorn - the microwave didn't sense a need to stop cooking. However, it's fine for baking a potato.<br /><br />I do not understand the benefit of the rather extreme concave back to the interior, which contributes to the 1.4 cu ft interior volume. But the size is right for me regardless. Certainly this was the best buy on Amazon for my purposes."	8/24/2015
US	20673186	RCFH27W77OTPH	B004ZU09QQ	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	4	0	0	N	Y	this is a great product. The size is perfect and it works ...	"Although it slides when you open the door, this is a great product. The size is perfect and it works great.<br /><br />Because of how my kitchen is designed, I cant push my microwave against the wall.  If you can, then your microwave will not slide."	8/24/2015
US	16397097	R2R63T6FP7G9JL	B0055UBB4O	423421857	danby 0.7 cu.ft. countertop microwave	Major Appliances	4	0	0	N	Y	Four Stars	Solid microwave for a good price.	8/24/2015
US	12457810	RLQM6VC4WYV08	B007XZ8FNO	565072108	lg over-the-range microwave oven with 300 cfm venting system	Major Appliances	1	1	1	N	N	No timer	This microwave has every button in the world except a simple timer. We used our microwave timer for everything. It's so stupid that a microwave this expensive doesn't include a basic kitchen timer.	8/24/2015
US	14228362	R3YSEIBEK0XYT	B00DUZ8LBW	930071734	ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017	Major Appliances	5	0	0	N	Y	"Timely delivery, good product."	"Prompt delivery, my microwave is back up and running."	8/24/2015
