MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID
1,Opponent1,win,1,0,home,Coach1
2,Opponent2,tie,1,1,away,Coach1
3,Opponent3,loss,0,2,away,Coach1
4,Opponent4,loss,0,3,home,Coach1
5,Opponent5,loss,0,4,away,Coach1
6,Opponent6,win,2,1,home,Coach1
7,Opponent7,loss,0,1,home,Coach1
8,Opponent8,tie,1,1,away,Coach1
9,Opponent9,loss,2,5,home,Coach1
10,Opponent10,loss,0,2,away,Coach2
11,Opponent11,win,3,2,home,Coach2
12,Opponent12,tie,2,2,away,Coach2
13,Opponent13,loss,1,4,away,Coach2
14,Opponent14,win,4,0,home,Coach2
15,Opponent15,win,2,0,home,Coach3
16,Opponent16,tie,1,1,away,Coach3
17,Opponent17,win,1,0,away,Coach3
18,Opponent18,win,3,1,home,Coach3
19,Opponent3,tie,0,0,home,Coach3
20,Opponent19,tie,0,0,away,Coach3
21,Opponent6,loss,1,2,away,Coach3
22,Opponent5,loss,0,2,home,Coach3
23,Opponent4,loss,0,4,away,Coach3
24,Opponent19,tie,1,1,home,Coach3
25,Opponent10,win,2,1,home,Coach3
26,Opponent9,loss,1,5,away,Coach3
27,Opponent12,win,3,1,home,Coach3
28,Opponent11,loss,0,1,away,Coach3
29,Opponent7,loss,1,2,away,Coach3
30,Opponent8,win,2,0,home,Coach3
31,Opponent1,win,2,1,away,Coach3
32,Opponent2,loss,1,3,home,Coach3
33,Opponent16,tie,0,0,home,Coach3
34,Opponent18,tie,1,1,away,Coach3
35,Opponent17,win,1,0,home,Coach3
36,Opponent15,win,2,0,away,Coach3
37,Opponent13,tie,1,1,home,Coach3
38,Opponent14,loss,1,3,away,Coach3
