,Acceleration,Air duel,Clearance,Cross,Ground attacking duel,Ground defending duel,Ground loose ball duel,Head pass,High pass,Launch,Shot,Simple pass,Smart pass,Touch
D1,0.625,1.192111959,1.5,0.615384615,0.584745763,1.040935673,1.049132948,1.5,1.5,0.556756757,0.815789474,1.076061776,0.625,1.328220859
D2,0.5,0.792620865,1.453703704,0.519230769,0.546610169,0.926900585,0.898843931,1.200729927,1.035947712,0.551351351,0.710526316,0.883011583,0.53125,0.855828221
D3,0.625,0.856234097,1.444444444,0.596153846,0.572033898,0.906432749,0.852601156,1.273722628,1.362745098,0.62972973,0.631578947,0.976447876,0.59375,0.892638037
D4,0.791666667,0.589058524,0.824074074,1.403846154,0.737288136,0.798245614,0.777456647,0.770072993,0.931372549,0.545945946,0.578947368,0.941698842,0.8125,0.794478528
D5,0.833333333,0.683206107,1.166666667,1.5,0.699152542,1.078947368,0.973988439,1.069343066,1.055555556,0.586486486,0.578947368,0.926254826,0.71875,0.996932515
D6,0.625,0.723918575,0.981481481,0.826923077,0.68220339,0.804093567,0.771676301,0.901459854,1.068627451,0.551351351,0.657894737,0.710810811,0.53125,0.757668712
D7,0.75,0.711195929,1.027777778,1.423076923,0.711864407,0.985380117,0.823699422,0.857664234,1.232026144,0.537837838,0.552631579,0.771042471,0.625,0.892638037
D8,1.458333333,0.576335878,0.611111111,1.076923077,0.847457627,0.678362573,0.650289017,0.813868613,0.767973856,0.527027027,0.605263158,0.677606178,0.65625,0.819018405
D9,0.541666667,0.512722646,0.546296296,0.5,0.516949153,0.5,0.528901734,0.50729927,0.526143791,0.508108108,0.526315789,0.526254826,0.5,0.5
D10,0.5,0.530534351,0.574074074,0.5,0.5,0.505847953,0.51734104,0.54379562,0.532679739,0.508108108,0.526315789,0.511583012,0.5,0.506134969
,,,,,,,,,,,,,,
M1,1.125,0.703562341,0.666666667,0.788461538,1.288135593,1.5,1.13583815,1.200729927,0.892156863,0.554054054,1.131578947,1.5,1.03125,1.5
M2,0.541666667,0.515267176,0.509259259,0.576923077,0.525423729,0.540935673,0.552023121,0.551094891,0.519607843,0.502702703,0.526315789,0.544015444,0.5625,0.542944785
M3,0.583333333,0.716284987,0.777777778,0.576923077,0.788135593,1.128654971,1.124277457,1.069343066,1.107843137,0.554054054,0.631578947,1.159459459,0.5625,1.003067485
M4,0.958333333,0.655216285,0.611111111,0.75,1.279661017,0.929824561,1.130057803,0.886861314,0.715686275,0.513513514,1.052631579,0.902316602,0.875,1.064417178
M5,0.666666667,0.507633588,0.5,0.596153846,0.56779661,0.502923977,0.511560694,0.51459854,0.5,0.5,0.605263158,0.518532819,0.5625,0.524539877
M6,0.791666667,0.647582697,0.722222222,1.307692308,1.254237288,0.979532164,1.083815029,0.762773723,0.64379085,0.535135135,1.394736842,0.919305019,1.21875,1.180981595
M7,0.5,0.5,0.5,0.5,0.5,0.502923977,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
M8,0.875,0.53562341,0.5,0.75,0.733050847,0.684210526,0.702312139,0.580291971,0.558823529,0.516216216,0.605263158,0.608880309,0.59375,0.647239264
M9,0.875,0.548346056,0.509259259,0.711538462,0.970338983,0.634502924,0.719653179,0.638686131,0.513071895,0.5,0.631578947,0.607335907,0.75,0.733128834
M10,0.666666667,0.5,0.509259259,0.538461538,0.627118644,0.561403509,0.546242775,0.51459854,0.506535948,0.5,0.578947368,0.513899614,0.53125,0.573619632
M11,0.5,0.510178117,0.509259259,0.5,0.516949153,0.576023392,0.552023121,0.53649635,0.526143791,0.5,0.5,0.539382239,0.53125,0.530674847
M12,1.25,0.591603053,0.592592593,1.461538462,1.186440678,0.625730994,0.690751445,0.609489051,0.571895425,0.508108108,0.973684211,0.601930502,0.75,0.702453988
M13,0.5,0.515267176,0.527777778,0.519230769,0.529661017,0.549707602,0.575144509,0.551094891,0.545751634,0.510810811,0.526315789,0.543243243,0.59375,0.549079755
,,,,,,,,,,,,,,
F1,1.166666667,1.5,0.601851852,0.942307692,1.5,0.745614035,1.5,0.952554745,0.545751634,0.516216216,1.5,0.67992278,0.75,1.009202454
F2,0.75,0.693384224,0.694444444,1.057692308,1.139830508,0.921052632,1.130057803,0.762773723,1.388888889,0.524324324,1.421052632,1.16023166,1.5,1.156441718
F3,0.5,0.520356234,0.5,0.673076923,0.610169492,0.511695906,0.586705202,0.52919708,0.506535948,0.502702703,0.736842105,0.531660232,0.53125,0.555214724
F4,0.541666667,0.81043257,0.537037037,0.846153846,1.224576271,0.64619883,0.968208092,0.645985401,0.506535948,0.502702703,1.473684211,0.603474903,0.96875,0.855828221
F5,0.541666667,0.797709924,0.592592593,0.653846154,0.877118644,0.625730994,0.939306358,0.660583942,0.5,0.502702703,0.973684211,0.625868726,0.8125,0.757668712
F6,1.5,0.571246819,0.592592593,1.403846154,1.110169492,0.719298246,0.771676301,0.748175182,0.604575163,0.508108108,0.973684211,0.654440154,0.625,0.788343558
