,F,M,D
G1,0.0,0.0,0.0
D1,84.30000000000001,80.0,117.80000000000001
D2,71.0,69.89999999999999,114.60000000000001
D3,72.1,73.2,115.1
D4,74.8,73.7,82.00000000000001
D5,86.5,89.39999999999999,114.9
D6,82.5,79.0,113.9
D7,83.9,85.1,112.3
D8,105.2,89.49999999999999,82.10000000000001
D9,70.7,66.4,84.29999999999998
D10,59.4,47.7,76.5
M1,93.3,100.5,93.1
M2,60.699999999999996,53.0,61.60000000000001
M3,68.4,77.9,88.99999999999999
M4,81.1,73.1,72.59999999999998
M5,78.8,54.00000000000001,54.5
M6,102.0,86.30000000000001,81.9
M7,64.10000000000001,70.7,69.3
M8,72.6,64.9,68.2
M9,89.30000000000001,80.5,68.39999999999999
M10,72.0,60.2,62.2
M11,52.3,50.4,63.8
M12,112.9,79.60000000000001,70.6
M13,68.4,70.2,78.6
F1,102.6,71.4,90.10000000000001
F2,91.9,83.5,79.6
F3,85.39999999999999,57.900000000000006,57.6
F4,111.60000000000001,75.7,76.1
F5,98.4,74.5,86.1
F6,121.80000000000001,90.70000000000002,78.89999999999999
