,G1,D1,D2,D3,D4,D7,M1,M3,M5,M6,M8,M9,M10,F1
G1,,,,1.1,,1.0,,,,,0.5,,,5.0
D1,0.8,,0.9,4.0,,0.9,1.1,2.1,,2.5,,,1.3,2.4
D2,0.8,2.8,,2.7,,2.2,2.1,1.9,,,,0.9,,4.4
D3,3.8,1.0,2.8,,0.7,1.5,1.9,1.0,,1.4,8.9,2.1,,4.4
D4,0.8,,,,,,2.4,1.0,,,,,,
D7,1.5,2.9,0.9,,,,4.2,2.4,3.0,3.4,1.2,,2.3,7.5
M1,,1.0,2.9,4.2,1.1,6.0,,7.4,,8.3,4.9,,3.1,2.0
M3,,1.0,1.1,1.3,2.4,5.1,5.5,,2.3,3.2,5.8,1.2,1.5,4.7
M5,,,2.0,1.1,,2.5,,,,0.9,3.7,,,2.6
M6,,2.2,,,,5.5,4.8,1.0,1.3,,1.2,2.6,,2.5
M8,,,2.0,7.3,,2.0,2.5,1.2,4.2,,1.4,2.3,1.3,3.5
M9,,,,0.9,,,1.2,,,1.2,1.0,,1.4,
M10,,,,,,3.5,2.1,2.6,,,,1.5,,
F1,,,,,,1.5,3.3,,,2.5,1.2,,1.0,
