,G1,D2,D5,D6,D7,M1,M4,M6,M8,M9,M10,M11,F1,F2
G1,,1.3,0.8,,,,,0.5,1.0,,,,5.8,
D2,2.2,,6.1,7.0,,4.6,0.9,2.1,,,,,,13.3
D5,2.0,4.3,,,,,4.9,5.0,3.1,1.2,2.1,1.0,3.2,6.7
D6,3.9,6.7,1.0,,4.5,5.1,1.2,2.1,1.1,,,0.9,5.8,3.2
D7,1.5,,,4.0,,4.4,6.1,,5.0,,,1.2,7.8,4.5
M1,0.7,4.6,4.4,5.1,5.8,,6.9,5.1,1.8,,1.1,0.9,1.2,9.6
M4,,1.0,1.0,,13.3,3.3,0.7,6.0,4.5,,,,1.2,
M6,,2.2,3.6,,1.9,5.8,2.4,,5.2,,,,5.9,7.2
M8,,,3.9,,4.4,3.5,3.2,,,,,,3.3,5.6
M9,,,1.1,,,,,1.7,,,,1.0,,
M10,,,1.0,,,,,1.5,,,,1.0,,
M11,,,,2.0,0.9,1.0,1.0,,,1.0,,,,
F1,,,,,1.4,1.2,3.4,2.9,4.1,,,,,2.5
F2,0.7,4.7,10.3,8.1,2.1,6.1,3.4,13.4,2.8,,,,5.6,0.9
