,G1,D2,D5,D6,D7,M1,M3,M4,M6,M8,M10,F1,F2
G1,,,,4.0,,0.9,,,0.9,,,0.5,
D2,2.2,,6.4,9.7,,5.1,4.9,,,,,1.0,3.2
D5,1.6,4.7,,0.7,0.9,5.5,5.1,0.8,10.2,,,2.8,8.3
D6,5.4,2.8,,,6.1,8.0,6.2,2.2,,1.2,1.1,3.1,1.0
D7,0.7,1.8,1.1,5.6,,4.8,1.1,1.1,2.6,6.8,,0.5,1.4
M1,0.9,5.6,6.0,9.5,6.0,,7.8,1.0,4.8,3.7,1.1,3.9,10.4
M3,,5.1,4.4,3.9,2.1,10.8,,,3.4,2.4,,1.1,4.3
M4,,1.0,,,,4.1,,,,2.5,2.4,1.4,1.2
M6,,1.9,5.8,,,2.1,2.2,1.3,,,,5.7,4.6
M8,,,,1.0,5.6,1.1,1.2,1.3,,,,,2.6
M10,,,,1.0,,,,1.2,1.3,,,,
F1,,,4.1,,,,1.3,,1.5,,,,2.6
F2,,1.0,4.0,2.9,4.5,5.8,5.9,1.9,2.4,2.7,,1.4,
