,G1,D1,D2,D5,D6,D7,M3,M4,M6,M8,M12,F1,F4
G1,0.4,0.5,,0.5,2.3,1.0,0.5,,,0.6,,,0.6
D1,1.4,,1.0,8.7,2.0,3.5,,,2.2,,3.5,1.1,2.3
D2,1.5,5.2,,1.3,5.7,,0.9,1.0,,,,1.0,
D5,,2.1,1.8,1.4,,0.8,11.4,2.5,1.9,1.5,3.7,3.7,
D6,0.7,0.9,2.0,,,3.3,2.6,5.2,,2.4,5.8,3.4,
D7,,,2.2,,1.1,,5.5,6.1,1.4,2.6,1.3,0.9,
M3,0.7,3.8,2.3,8.6,1.9,4.8,,4.6,4.4,,4.9,2.8,1.0
M4,,1.9,3.1,,3.4,6.5,1.1,,4.9,1.3,2.7,2.5,
M6,,2.1,1.0,7.7,,2.7,3.6,1.0,,3.0,8.7,,1.4
M8,,,,,1.1,1.2,,1.5,1.3,,,,3.1
M11,,,,1.4,,,,,,,,,
M12,,1.0,,2.5,,3.0,2.4,1.4,3.2,,,1.3,
F1,,,1.2,,,2.2,1.5,,,,,,
F4,,,,1.2,,,,,1.3,,,,1.6
