,G1,D1,D2,D5,D6,M3,M4,M8,M9,M12,M13,F1,F2,F4
G1,,1.0,2.6,0.5,0.9,,,,,0.8,,,,0.5
D1,1.6,,1.0,1.0,3.0,,,,,1.0,,,1.8,
D2,2.4,2.0,,3.7,,4.1,1.0,1.3,,1.1,,,1.6,1.0
D5,2.8,,1.9,,0.9,4.5,2.4,2.2,1.3,6.1,,,7.2,4.9
D6,0.7,1.9,,1.2,,3.4,4.6,,6.0,2.6,,,2.6,5.4
M3,,1.2,2.4,2.2,7.5,,1.2,,4.6,3.5,2.3,,9.2,2.5
M4,,3.8,,3.9,,3.6,,1.1,2.6,2.4,,,4.2,1.4
M8,,,,1.2,,1.1,,,,,2.2,,,
M9,,1.0,1.2,,14.3,1.3,4.2,1.1,,,2.6,,2.7,5.3
M12,,,,7.5,1.3,,3.3,,2.6,,,,4.8,5.1
M13,,1.3,2.3,,1.3,3.3,,,4.0,,,1.3,,1.0
F1,,,,,,1.3,,,,,,,,
F2,,,0.9,9.9,5.1,8.1,2.1,,4.2,3.8,,,,
F4,,,,,3.2,,1.5,1.0,2.9,,,,2.2,2.9
