,G1,D1,D2,D5,D7,D8,D9,M1,M3,M4,M6,F2,F4,F6
G1,,1.7,0.9,0.9,,0.9,2.9,0.8,,,,,,
D1,3.9,,,1.9,,7.3,3.9,1.3,,2.1,1.2,1.1,3.5,3.7
D2,0.8,0.9,,,4.0,1.0,,1.0,,1.2,,3.8,2.5,2.3
D5,,,1.8,,,,,3.4,1.3,3.8,2.3,8.2,10.8,2.5
D7,,,,,,,,2.6,,,2.3,5.1,2.8,5.1
D8,,6.0,,2.5,,,,2.1,,2.8,,1.3,1.0,7.0
D9,3.8,5.8,,1.1,,,,1.0,,2.4,,3.0,1.2,1.3
M1,2.4,6.0,1.0,,,3.9,,,,5.7,2.9,10.9,1.3,5.3
M3,,,,,1.1,,,,,,,,1.4,
M4,,,,3.0,1.2,1.5,1.2,0.9,,2.1,6.4,5.7,1.0,4.4
M6,,,,3.8,,,,,,2.5,1.6,1.0,5.9,1.1
F2,,2.4,3.0,6.1,1.1,2.1,3.2,14.7,,1.1,4.0,,,7.2
F4,,,,,,,2.8,,,4.4,5.2,1.3,,3.2
F6,,2.1,1.0,2.7,6.6,6.7,,0.9,,3.9,2.6,2.4,3.9,
