,G1,D1,D2,D5,D7,M1,M4,M6,M12,F2,F4,F5,F6
G1,,0.5,1.3,,0.7,,,,,0.9,2.1,,2.2
D1,2.1,1.0,,1.2,1.0,3.9,,2.3,2.3,3.0,,1.1,3.1
D2,2.3,2.2,,0.9,5.6,2.9,4.3,,,1.1,1.1,1.2,3.8
D5,0.7,3.8,1.9,,1.0,2.0,0.9,2.6,2.5,8.1,2.1,,
D7,0.7,,2.8,,,4.4,6.6,3.6,,2.0,1.0,2.6,6.5
M1,,5.2,4.0,3.8,4.9,,4.5,6.0,,8.8,1.2,,3.5
M4,,,4.0,,5.9,2.1,,3.7,,,2.6,,1.9
M6,,,,1.0,1.5,3.1,3.6,,,1.2,5.4,1.4,2.5
M12,,,,1.2,,,,,,,,,
F1,,,,1.2,1.7,,1.4,,,,,,
F2,1.0,3.3,0.9,8.6,3.4,5.2,1.2,2.3,,0.9,1.4,,3.4
F4,,,,1.0,,1.0,,1.0,,1.4,,,3.0
F5,,,,1.3,,0.8,0.8,4.0,1.4,,,,1.3
F6,,,1.0,,3.9,3.4,3.6,,0.8,,4.8,5.1,
