,G1,D1,D3,D4,D6,D8,M2,M4,M6,M12,F1,F2,F5,F6
G1,,2.6,3.4,,,,,,0.5,2.0,,0.8,0.5,0.9
D1,2.3,,5.5,7.2,,1.3,,,2.2,1.0,,5.3,3.4,1.4
D3,3.9,6.6,,1.1,3.1,0.9,,9.2,1.0,,,10.0,2.0,4.5
D4,1.4,8.7,0.9,,,,,2.4,5.4,4.3,,13.4,10.7,
D6,0.9,,1.8,,,,1.2,1.0,,,,0.9,,
D8,0.7,1.7,2.9,,1.1,,1.5,6.7,,,1.4,,0.9,9.6
M2,,1.1,,1.2,,1.6,,,,,,1.4,,
M4,,1.1,6.5,2.9,1.0,3.2,,,2.2,1.1,,8.0,2.5,6.3
M6,,2.8,0.8,8.1,,,,2.1,,5.1,,3.4,1.2,6.9
M12,,,,5.3,,,,,1.4,,,,2.9,7.0
F1,,,,,,1.6,,,,,,1.3,,
F2,,5.3,10.1,8.7,,4.8,2.4,8.5,8.8,4.1,,,3.7,1.5
F5,,,,10.3,,1.7,,2.4,6.2,5.2,,2.4,,1.4
F6,,1.0,,,,7.2,,5.3,4.0,2.5,,1.9,2.4,
