,G1,D1,D3,D4,D8,M1,M3,M4,M12,F1,F2,F4,F5,F6
G1,,4.8,1.6,0.5,1.0,,1.3,,,0.6,1.4,,,0.6
D1,2.9,,15.4,13.3,0.9,6.3,4.9,1.0,2.1,,3.0,,1.2,1.1
D3,2.9,13.0,,0.8,4.2,6.9,4.0,1.0,3.6,1.0,6.6,,,4.4
D4,,9.0,,,2.2,4.3,7.2,3.5,5.6,,4.6,,6.1,3.7
D8,0.7,,6.8,,,3.0,,1.2,2.4,1.6,3.6,,2.6,1.4
M1,0.8,4.0,3.3,3.6,6.1,,3.8,,3.5,,7.6,1.3,1.2,2.0
M3,,3.8,2.2,9.4,2.9,5.4,,,3.7,,5.4,,1.3,6.1
M4,,1.1,,2.0,1.0,4.3,,,,1.3,2.6,,,
M12,,3.0,,8.3,1.0,1.1,1.3,,,,1.0,,,2.5
F1,,,1.0,,1.5,,,1.3,,,,,,
F2,,8.4,9.7,3.0,5.6,2.2,7.5,2.6,1.5,0.8,,,,3.0
F5,,,1.1,1.2,1.5,1.4,,,2.8,,2.6,,,3.7
F6,,,1.7,1.3,3.7,1.1,1.3,1.2,1.1,,5.1,,6.8,
