,G1,D1,D3,D4,D8,D10,M1,M2,M3,M4,M9,M12,F4,F5
G1,,2.9,1.0,1.0,,4.0,0.5,,,,,,,1.1
D1,3.7,,6.7,5.2,4.1,1.1,3.1,,1.9,2.6,,,1.3,
D3,5.4,3.2,,2.2,6.1,5.8,5.5,,4.2,1.1,0.7,,,1.0
D4,0.8,1.8,,,,1.2,5.0,0.9,9.3,2.5,2.5,,1.6,3.7
D8,0.7,1.9,,,,,8.8,2.5,5.4,5.9,,4.2,1.6,2.5
D10,3.1,1.0,4.8,7.0,,,1.0,,2.1,1.1,,,,1.1
M1,,0.8,4.0,6.6,11.4,1.0,2.2,1.2,7.3,4.0,,1.4,3.6,1.4
M2,,1.1,,,,,1.5,,,3.6,,,,
M3,,3.0,4.2,5.6,4.6,4.8,8.6,,,8.3,3.4,,,1.2
M4,0.8,2.2,2.0,4.9,10.9,,8.2,1.1,5.4,0.7,,1.3,,
M9,,,,4.4,,,1.1,,2.1,1.3,,,,
M12,,,0.7,,1.7,,,,,,,,,1.3
F4,,,,,4.3,,1.5,,,1.2,,,,2.7
F5,,1.1,,4.8,3.9,,,1.6,1.2,1.3,1.4,,,
