,G1,D1,D2,D4,D5,M1,M3,M4,M6,M9,F1,F2,F3,F4
G1,,3.0,2.2,1.9,,,,,,0.6,2.7,0.8,,
D1,3.0,,8.6,3.1,12.3,7.5,3.0,,3.3,,3.4,,,1.3
D2,4.8,10.2,,15.8,3.9,4.4,3.1,,1.0,1.5,1.2,1.3,1.2,3.9
D4,0.9,2.4,11.8,,,3.7,8.3,4.1,9.6,,2.5,,1.6,11.6
D5,1.5,8.2,3.3,,,16.0,2.4,1.1,0.4,6.1,8.1,2.3,1.5,2.4
M1,0.9,7.3,8.7,2.4,16.9,1.3,11.4,1.1,3.6,3.6,3.6,2.4,2.6,6.5
M3,,4.1,3.0,9.3,3.0,11.3,,,6.1,1.3,2.8,,,1.3
M4,,,1.2,2.8,,2.3,,1.9,1.7,,,2.7,,
M6,,,2.8,4.0,3.0,2.3,2.7,1.5,1.8,1.2,2.9,3.9,,6.5
M9,,,,1.5,7.3,3.9,1.3,,2.9,,1.3,0.9,,1.2
F1,,,3.6,3.8,2.3,2.3,2.1,1.3,3.0,1.5,,1.3,,1.3
F2,,,2.7,5.8,0.9,2.0,,1.5,2.6,,,,,
F3,,1.3,,,1.6,,,0.9,,,,2.2,,
F4,,,,2.6,1.6,2.6,,,5.2,1.1,,,,
