,G1,D1,D2,D3,D4,D7,M1,M4,M6,M9,M10,F1,F2,F4
G1,,1.0,,1.4,1.0,,,,,,,2.6,,
D1,1.5,,1.0,4.9,,5.3,,3.3,0.9,0.9,1.2,,3.3,1.1
D2,0.8,1.0,,1.1,,,,,1.0,1.1,,,1.3,
D3,2.6,0.9,0.9,,7.5,,0.9,1.8,2.0,,,,1.3,
D4,,,,3.0,,,2.0,1.1,,,,4.4,3.5,
D7,0.8,2.0,,2.0,,,1.5,3.3,2.2,2.6,,1.1,2.7,
M1,,0.9,0.9,0.9,1.1,2.0,,,2.5,3.3,,,4.0,
M4,,3.0,,,,0.7,,,,2.3,1.3,2.7,1.0,
M6,,,,1.0,4.8,2.4,1.4,,,2.0,2.2,3.8,2.7,
M9,,0.9,,2.4,2.5,4.8,2.2,1.4,1.8,,,1.6,2.7,
M10,,1.2,,1.0,1.4,1.4,,1.3,,,,,,
F1,,,,,,,1.3,,2.4,2.5,,,3.8,
F2,,2.4,1.1,0.9,2.6,1.7,1.1,,2.5,4.9,,3.8,,
