,Acceleration,Air duel,Clearance,Cross,Ground attacking duel,Ground defending duel,Ground loose ball duel,Head pass,High pass,Launch,Shot,Simple pass,Smart pass,Touch
G1,0,0.710526316,0.447368421,0,0.105263158,0.131578947,0.184210526,0,2.947368421,9.736842105,0,4.210526316,0,1.657894737
D1,0.1,9.133333333,3.6,0.2,0.8,6.3,3.2,4.566666667,5.133333333,0.7,0.4,25.6,0.133333333,4.6
D2,0,5.086956522,4.47826087,0.043478261,0.652173913,6.52173913,3.043478261,4.173913043,3.608695652,0.826086957,0.347826087,22.52173913,0.043478261,2.652173913
D3,0.125,5.916666667,4.25,0.208333333,0.875,5.958333333,2.583333333,4.416666667,5.541666667,2,0.208333333,26.625,0.125,2.791666667
D4,0.318181818,1.681818182,1.590909091,2.136363636,2.727272727,4.818181818,2.227272727,1.681818182,3.045454545,0.772727273,0.136363636,27,0.454545455,2.318181818
D5,0.380952381,3.523809524,3.428571429,2.476190476,2.428571429,9.619047619,3.952380952,3.714285714,4.095238095,1.523809524,0.142857143,27.33333333,0.333333333,4
D6,0.2,6,3.466666667,1.133333333,3.133333333,7.2,3.2,3.666666667,5.866666667,1.266666667,0.4,19.66666667,0.066666667,3
D7,0.315789474,4.473684211,3,2.526315789,2.842105263,8.947368421,3,2.578947368,5.947368421,0.736842105,0.105263158,19.63157895,0.210526316,3.526315789
D8,1.916666667,2.666666667,1,2.5,7.166666667,5.416666667,2.25,3.583333333,3.5,0.833333333,0.333333333,21,0.416666667,4.583333333
D9,0.5,3.5,2.5,0,4,2,3,0.5,2.5,1.5,0.5,28,0,1.5
D10,0,3.5,2,0,1,1.5,1,1.5,1.5,0.75,0.25,9.25,0,1
,,,,,,,,,,,,,,
M1,0.454545455,2.484848485,0.545454545,0.454545455,5.757575758,10.48484848,3.363636364,2.909090909,1.848484848,0.606060606,0.727272727,39.90909091,0.515151515,5.03030303
M2,0.142857143,1.142857143,0.142857143,0.571428571,1.428571429,2.571428571,1.428571429,1,0.571428571,0.142857143,0.142857143,11.28571429,0.285714286,1.428571429
M3,0.066666667,2.9,1,0.133333333,2.4,7.3,3.633333333,2.6,3.133333333,0.666666667,0.166666667,29.2,0.066666667,2.833333333
M4,0.333333333,1.909090909,0.363636364,0.393939394,5.696969697,4.575757576,3.333333333,1.606060606,1.03030303,0.151515152,0.636363636,16.45454545,0.363636364,2.878787879
M5,0.8,1,0,1,4,1,0.6,0.4,0.2,0,0.8,9.2,0.4,1.4
M6,0.259259259,2.222222222,0.888888889,1.555555556,6.740740741,6.222222222,3.777777778,1.333333333,0.851851852,0.481481481,1.259259259,20.92592593,0.851851852,4.222222222
M7,0,2,0,0,4,5,1,0,1,0,0,22,0,3
M8,0.642857143,1.142857143,0,0.928571429,4.214285714,4.785714286,2.571428571,0.785714286,0.714285714,0.428571429,0.285714286,11.64285714,0.214285714,1.928571429
M9,0.75,1.75,0.083333333,0.916666667,9.583333333,4.166666667,3.25,1.583333333,0.25,0,0.416666667,13.41666667,0.666666667,3.416666667
M10,0.571428571,0.285714286,0.142857143,0.285714286,4.857142857,3.571428571,1.285714286,0.285714286,0.285714286,0,0.428571429,5.714285714,0.142857143,2.142857143
M11,0,0.75,0.125,0,1,3.75,1.25,0.625,0.625,0,0,9.125,0.125,1
M12,1.2,2.533333333,0.666666667,3.333333333,11.06666667,3.133333333,2.266666667,1,0.8,0.2,1.2,10.26666667,0.533333333,2.4
M13,0,2,0.75,0.25,2.75,5.25,3.5,1.75,2,1,0.25,19.5,0.75,2.75
,,,,,,,,,,,,,,
F1,0.5,12.34375,0.34375,0.71875,7.5,2.75,5.4375,1.9375,0.25,0.1875,1.1875,7.96875,0.25,2.6875
F2,0.193548387,2.516129032,0.677419355,0.935483871,5,4.774193548,3.548387097,1.161290323,4.419354839,0.290322581,1.129032258,28.29032258,1.032258065,3.548387097
F3,0,1.428571429,0,1.285714286,4.285714286,1.142857143,2.285714286,0.571428571,0.285714286,0.142857143,1.285714286,9,0.142857143,1.714285714
F4,0.052631579,6.526315789,0.210526316,0.947368421,9.210526316,2.842105263,4.315789474,1.052631579,0.105263158,0.052631579,1.947368421,8.210526316,0.789473684,3.210526316
F5,0.071428571,8.5,0.714285714,0.571428571,6.642857143,3.357142857,5.5,1.571428571,0.071428571,0.071428571,1.285714286,13.21428571,0.714285714,3.214285714
F6,1.714285714,2.142857143,0.714285714,3.357142857,10.57142857,5.642857143,3.428571429,2.428571429,1.214285714,0.214285714,1.285714286,15.85714286,0.285714286,3.571428571
