sku_id,sku_name,first_category_id,second_category_id,third_category_id,first_category_name,second_category_name,third_category_name
2003117399,喜之郎蜜桔果肉果冻杯200g/杯,20514,20607,20617,休闲食品,果冻,果肉果冻
2003117402,M&M'S 牛奶巧克力豆 40g,20514,20702,20712,休闲食品,巧克力,加味巧克力
2003117403,健达 奇趣蛋可可球及牛奶可可酱糖果女生版（含新奇玩具） 20g,21549,23268,23272,进口商品,进口休闲食品,进口糖果/巧克力
2003117407,洽洽 香瓜子 248g,20514,20561,20575,休闲食品,坚果,瓜子/瓜子仁
2003117412,甘源 蟹黄味蚕豆 75g,20514,20561,20573,休闲食品,坚果,豆类
2003117418,Prunella 智利进口 西梅干 250g,21549,23268,23269,进口商品,进口休闲食品,进口蜜饯果干
2003117423,北田 中国台湾 蛋黄口味能量99棒 180g,21549,23268,23275,进口商品,进口休闲食品,其他进口休闲食品
2003117424,旺旺 黑米雪饼 258g,20514,20678,20686,休闲食品,膨化食品,米饼/雪饼
2003117428,金大州 香辣味金针菇 35g,20514,20727,20741,休闲食品,肉干,即食菌类
2003117444,Alpenliebe/阿尔卑斯 混合口味棒棒糖(20支装) 200g,20514,20904,20906,休闲食品,硬糖,棒棒糖
2003117447,成京 韩国进口 海苔 4g*3,21549,23268,23275,进口商品,进口休闲食品,其他进口休闲食品
2003117470,杰士邦 天然胶乳橡胶避孕套 12只,20185,20186,20191,情趣用品,安全避孕,安全套
2003117471,高露洁 360美白牙膏 200g,21232,21459,21463,个洗清洁,牙膏,美白牙膏
2003117479,佳洁士 全优7效牙刷第二支半价装 /盒,21232,21902,21907,个洗清洁,牙刷,手动牙刷
2003117488,吉列 清新柠檬型剃须泡 50g,21232,21394,21427,个洗清洁,剃须,须前胡泡
2003117494,多芬（Dove）深层营润沐浴露 720g,21232,21320,21330,个洗清洁,沐浴,滋养沐浴露
2003117499,曼秀雷敦 冰爽活炭洁面乳 150ml,21232,21281,21287,个洗清洁,洁肤,男士洗面奶
2003117501,高洁丝 经典系列丝薄棉柔日用卫生巾 240mm*18片,21232,21431,21436,个洗清洁,卫生护理,卫生棉/卫生巾(日用)
2003117502,高洁丝 经典系列纤巧棉柔日用卫生巾 240mm*18片,21232,21431,21436,个洗清洁,卫生护理,卫生棉/卫生巾(日用)
2003117509,护舒宝 瞬洁丝薄日用卫生巾 240mm 10+2片（新旧包装，随机发货）,21232,21431,21436,个洗清洁,卫生护理,卫生棉/卫生巾(日用)
2003117523,吕 韩国进口 舒盈清润清爽控油洗发水 400g,21232,21233,21240,个洗清洁,洗发护发,其他护发用品
2003117527,妙洁 PE保鲜膜 60米,21555,21753,21755,居家日用,食品包装,保鲜膜
2003117529,佳能保鲜袋点断式超大号100个/卷,21555,21753,21754,居家日用,食品包装,保鲜袋
2003117532,妙洁 增厚保鲜袋 大号 150只 35*25cm,21555,21753,21754,居家日用,食品包装,保鲜袋
2003117535,佳能 泰国进口 双重锁紧密封袋 大号 20个,21555,21617,21625,居家日用,厨房配件,其他厨房配件
2003117537,清风 原木纯品面巾纸 206*136mm 180抽*2层*8包,20987,21161,21175,日化用品,纸品湿巾,软抽纸
2003117539,维达倍韧3层抽取式面巾纸136抽*6包/提,20987,21161,21175,日化用品,纸品湿巾,软抽纸
2003117545,Vinda/维达 蓝色经典系列卷筒卫生纸  200g*10卷（新旧包装，随机发货）,20987,21161,21184,日化用品,纸品湿巾,有芯卫生纸
2003117556,洁柔Face百花香味迷你手帕纸10+2包/条,20987,21161,21180,日化用品,纸品湿巾,手帕纸
2003117558,维达手部洁肤湿巾单片装10片/袋,20987,21161,21179,日化用品,纸品湿巾,湿纸巾
2003117576,蓝月亮绿色柔顺剂薰衣草香3kg/瓶,20987,21127,21136,日化用品,衣物清洁/护理剂,柔顺剂
2003117599,立白 全效馨香洗衣液超值特惠装 900g/袋,20987,21127,21149,日化用品,衣物清洁/护理剂,洗衣液
2003117608,蓝月亮丝毛净500g/瓶,20987,21127,21146,日化用品,衣物清洁/护理剂,丝毛及羽绒洗涤剂
2003117613,Johnson&Johnson/强生 婴儿柔泡型洗发沐浴露 400ml,21232,21320,21326,个洗清洁,沐浴,其他沐浴露
2003117617,Elsker/嗳呵 婴儿草本洗衣液 2L,20987,21127,21139,日化用品,衣物清洁/护理剂,内衣及婴儿衣物洗涤剂
2003117632,百吉福 原味芝士片 6片 100g,20386,20593,20615,日配/冷藏,干奶乳制品,奶酪（低温）
