节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）
A0,0.0000,0.0000,-300.4000
B1,6.1078,8.4070,-300.2202
C1,9.8827,-3.2110,-300.2202
D1,0.0000,-10.3910,-300.2202
E1,-9.8827,-3.2110,-300.2202
A1,-6.1078,8.4070,-300.2202
A3,0.0000,16.8180,-299.9289
B2,12.2084,16.8040,-299.6811
B3,15.9942,5.1970,-299.9289
C2,19.7536,-6.4180,-299.6811
C3,9.8850,-13.6050,-299.9289
D2,0.0000,-20.7700,-299.6811
D3,-9.8850,-13.6050,-299.9289
E2,-19.7536,-6.4180,-299.6811
E3,-15.9942,5.1970,-299.9289
A2,-12.2084,16.8040,-299.6811
A5,-6.1079,25.2360,-299.2759
A6,6.1079,25.2360,-299.2759
B4,18.2943,25.1800,-298.7833
B5,22.1129,13.6070,-299.2759
B6,25.8877,1.9900,-299.2759
C4,29.6008,-9.6170,-298.7833
C5,19.7744,-16.8250,-299.2759
C6,9.8916,-24.0060,-299.2759
D4,0.0000,-31.1240,-298.7833
D5,-9.8916,-24.0060,-299.2759
D6,-19.7744,-16.8250,-299.2759
E4,-29.6008,-9.6170,-298.7833
E5,-25.8877,1.9900,-299.2759
E6,-22.1129,13.6070,-299.2759
A4,-18.2943,25.1800,-298.7833
A8,-12.1892,33.6100,-298.2650
A9,0.0000,33.6380,-298.5108
A10,12.1892,33.6100,-298.2650
B7,24.3583,33.5270,-297.5279
B8,28.1978,21.9790,-298.2650
B9,31.9908,10.3950,-298.5108
B10,35.7311,-1.2060,-298.2650
C7,39.4126,-12.8060,-297.5279
C8,29.6164,-20.0260,-298.2650
C9,19.7714,-27.2130,-298.5108
C10,9.8938,-34.3550,-298.2650
D7,0.0000,-41.4400,-297.5279
D8,-9.8938,-34.3550,-298.2650
D9,-19.7714,-27.2130,-298.5108
D10,-29.6164,-20.0260,-298.2650
E7,-39.4126,-12.8060,-297.5279
E8,-35.7311,-1.2060,-298.2650
E9,-31.9908,10.3950,-298.5108
E10,-28.1978,21.9790,-298.2650
A7,-24.3583,33.5270,-297.5279
A12,-18.2947,42.0540,-296.8788
A13,-6.1082,42.1090,-297.3714
A14,6.1082,42.1090,-297.3714
A15,18.2947,42.0540,-296.8788
B11,30.3932,41.8330,-295.9163
B12,34.3416,30.3950,-296.8788
B13,38.1602,18.8220,-297.3714
B14,41.9353,7.2030,-297.3714
B15,45.6484,-4.4040,-296.8788
C11,49.1772,-15.9780,-295.9163
C12,39.5190,-23.2680,-296.8788
C13,29.6925,-30.4760,-297.3714
C14,19.8093,-37.6570,-297.3714
C15,9.9175,-44.7750,-296.8788
D11,0.0000,-51.7080,-295.9163
D12,-9.9175,-44.7750,-296.8788
D13,-19.8093,-37.6570,-297.3714
D14,-29.6925,-30.4760,-297.3714
D15,-39.5190,-23.2680,-296.8788
E11,-49.1772,-15.9780,-295.9163
E12,-45.6484,-4.4040,-296.8788
E13,-41.9353,7.2030,-297.3714
E14,-38.1602,18.8220,-297.3714
E15,-34.3416,30.3950,-296.8788
A11,-30.3932,41.8330,-295.9163
A17,-24.3201,50.3500,-295.1501
A18,-12.2089,50.5290,-295.8681
A19,0.0000,50.5710,-296.1128
A20,12.2089,50.5290,-295.8681
A21,24.3201,50.3500,-295.1501
B16,36.3917,50.0890,-293.9506
B17,40.3703,38.6890,-295.1501
B18,44.2830,27.2260,-295.8681
B19,48.0955,15.6280,-296.1128
B20,51.8285,4.0030,-295.8681
B21,55.4009,-7.5700,-295.1501
C16,58.8830,-19.1320,-293.9506
C17,49.2703,-26.4390,-295.1501
C18,39.5773,-33.7020,-295.8681
C19,29.7247,-40.9120,-296.1128
C20,19.8229,-48.0540,-295.8681
C21,9.9195,-55.0290,-295.1501
D16,0.0000,-61.9130,-293.9506
D17,-9.9195,-55.0290,-295.1501
D18,-19.8229,-48.0540,-295.8681
D19,-29.7247,-40.9120,-296.1128
D20,-39.5773,-33.7020,-295.8681
D21,-49.2703,-26.4390,-295.1501
E16,-58.8830,-19.1320,-293.9506
E17,-55.4009,-7.5700,-295.1501
E18,-51.8285,4.0030,-295.8681
E19,-48.0955,15.6280,-296.1128
E20,-44.2830,27.2260,-295.8681
E21,-40.3703,38.6890,-295.1501
A16,-36.3917,50.0890,-293.9506
A23,-30.3164,58.6140,-293.0623
A24,-18.2175,58.8330,-294.0187
A25,-6.1082,58.9430,-294.4972
A26,6.1082,58.9430,-294.4972
A27,18.2175,58.8330,-294.0187
A28,30.3164,58.6140,-293.0623
B22,42.3466,58.2860,-291.6330
B23,46.3765,46.9460,-293.0623
B24,50.3240,35.5070,-294.0187
B25,54.1705,24.0240,-294.4972
B26,57.9456,12.4060,-294.4972
B27,61.5830,0.8550,-294.0187
B28,65.1131,-10.7200,-293.0623
C22,68.5183,-22.2630,-291.6330
C23,58.9787,-29.5990,-293.0623
C24,49.3194,-36.8890,-294.0187
C25,39.5874,-44.0950,-294.4972
C26,29.7042,-51.2760,-294.4972
C27,19.8429,-58.3040,-294.0187
C28,9.9256,-65.2380,-293.0623
D22,0.0000,-72.0440,-291.6330
D23,-9.9256,-65.2380,-293.0623
D24,-19.8429,-58.3040,-294.0187
D25,-29.7042,-51.2760,-294.4972
D26,-39.5874,-44.0950,-294.4972
D27,-49.3194,-36.8890,-294.0187
D28,-58.9787,-29.5990,-293.0623
E22,-68.5183,-22.2630,-291.6330
E23,-65.1131,-10.7200,-293.0623
E24,-61.5830,0.8550,-294.0187
E25,-57.9456,12.4060,-294.4972
E26,-54.1705,24.0240,-294.4972
E27,-50.3240,35.5070,-294.0187
E28,-46.3765,46.9460,-293.0623
A22,-42.3466,58.2860,-291.6330
A30,-36.2570,66.7940,-290.6273
A31,-24.2041,67.0670,-291.8157
A32,-12.1119,67.2310,-292.5295
A33,0.0000,67.2860,-292.7676
A34,12.1119,67.2310,-292.5295
A35,24.2041,67.0670,-291.8157
A36,36.2570,66.7940,-290.6273
B29,48.2509,66.4120,-288.9663
B30,52.3202,55.1230,-290.6273
B31,56.3045,43.7450,-291.8157
B32,60.1972,32.2950,-292.5295
B33,63.9921,20.7930,-292.7676
B34,67.6828,9.2570,-292.5295
B35,71.2635,-2.2940,-291.8157
B36,74.7283,-13.8420,-290.6273
C29,78.0715,-25.3670,-288.9663
C30,68.5927,-32.7250,-290.6273
C31,59.0022,-40.0310,-291.8157
C32,49.3159,-47.2710,-292.5295
C33,39.5493,-54.4350,-292.7676
C34,29.7184,-61.5090,-292.5295
C35,19.8391,-68.4840,-291.8157
C36,9.9276,-75.3480,-290.6273
D29,0.0000,-82.0890,-288.9663
D30,-9.9276,-75.3480,-290.6273
D31,-19.8391,-68.4840,-291.8157
D32,-29.7184,-61.5090,-292.5295
D33,-39.5493,-54.4350,-292.7676
D34,-49.3159,-47.2710,-292.5295
D35,-59.0022,-40.0310,-291.8157
D36,-68.5927,-32.7250,-290.6273
E29,-78.0715,-25.3670,-288.9663
E30,-74.7283,-13.8420,-290.6273
E31,-71.2635,-2.2940,-291.8157
E32,-67.6828,9.2570,-292.5295
E33,-63.9921,20.7930,-292.7676
E34,-60.1972,32.2950,-292.5295
E35,-56.3045,43.7450,-291.8157
E36,-52.3202,55.1230,-290.6273
A29,-48.2509,66.4120,-288.9663
A38,-42.3557,75.3190,-287.7034
A39,-30.3251,75.6480,-289.1332
A40,-18.2235,75.8680,-290.0899
A41,-6.1137,75.9780,-290.5687
A42,6.1137,75.9780,-290.5687
A43,18.2235,75.8680,-290.0899
A44,30.3251,75.6480,-289.1332
A45,42.3557,75.3190,-287.7034
B37,54.0974,74.4590,-285.9538
B38,58.5437,63.5580,-287.7034
B39,62.5741,52.2180,-289.1332
B40,66.5231,40.7760,-290.0899
B41,70.3699,29.2930,-290.5687
B42,74.1484,17.6640,-290.5687
B43,77.7858,6.1130,-290.0899
B44,81.3160,-5.4640,-289.1332
B45,84.7210,-17.0080,-287.7034
C37,87.5314,-28.4400,-285.9538
C38,78.5377,-36.0380,-287.7034
C39,68.9980,-43.3750,-289.1332
C40,59.3370,-50.6660,-290.0899
C41,49.6047,-57.8730,-290.5687
C42,39.7125,-65.0600,-290.5687
C43,29.8508,-72.0890,-290.0899
C44,19.9310,-79.0240,-289.1332
C45,10.0048,-85.8300,-287.7034
D37,0.0000,-92.0360,-285.9538
