对应主索节点编号,下端点X坐标（米）,下端点Y坐标（米）,下端点Z坐标（米）,基准态时上端点X坐标（米）,基准态时上端点Y坐标（米）,基准态时上端点Z坐标（米）
A0,0.0000,0.0000,-304.7218,0.0000,0.0000,-302.7418
B1,6.1935,8.5250,-304.4318,6.1532,8.4696,-302.4530
C1,10.0227,-3.2560,-304.4747,9.9576,-3.2348,-302.4959
D1,0.0000,-10.5380,-304.4868,0.0000,-10.4695,-302.5080
E1,-10.0214,-3.2560,-304.4337,-9.9563,-3.2348,-302.4549
A1,-6.1944,8.5260,-304.4724,-6.1541,8.4706,-302.4936
A3,0.0000,17.0510,-304.0965,0.0000,16.9402,-302.1196
B2,12.3801,17.0400,-303.8960,12.2996,16.9292,-301.9207
B3,16.2182,5.2700,-304.1303,16.1128,5.2357,-302.1534
C2,20.0288,-6.5070,-303.8579,19.8986,-6.4647,-301.8826
C3,10.0235,-13.7960,-304.1320,9.9583,-13.7063,-302.1551
D2,0.0000,-21.0580,-303.8455,0.0000,-20.9211,-301.8702
D3,-10.0234,-13.7960,-304.1294,-9.9582,-13.7063,-302.1525
E2,-20.0288,-6.5070,-303.8574,-19.8986,-6.4647,-301.8821
E3,-16.2170,5.2690,-304.1076,-16.1116,5.2347,-302.1307
A2,-12.3791,17.0390,-303.8715,-12.2986,16.9282,-301.8962
A5,-6.1942,25.5920,-303.5037,-6.1539,25.4257,-301.5311
A6,6.1939,25.5910,-303.4892,6.1536,25.4247,-301.5166
B4,18.5526,25.5360,-303.0020,18.4320,25.3700,-301.0327
B5,22.4302,13.8030,-303.5704,22.2844,13.7133,-301.5978
B6,26.2561,2.0180,-303.5342,26.0855,2.0049,-301.5616
C4,30.0162,-9.7520,-302.9761,29.8211,-9.6886,-301.0068
C5,20.0557,-17.0650,-303.5337,19.9254,-16.9541,-301.5611
C6,10.0315,-24.3450,-303.5050,9.9663,-24.1868,-301.5324
D4,0.0000,-31.5620,-302.9954,0.0000,-31.3569,-301.0261
D5,-10.0324,-24.3470,-303.5345,-9.9672,-24.1888,-301.5619
D6,-20.0581,-17.0670,-303.5703,-19.9278,-16.9561,-301.5977
E4,-30.0144,-9.7520,-302.9581,-29.8193,-9.6886,-300.9888
E5,-26.2518,2.0180,-303.4846,-26.0812,2.0049,-301.5120
E6,-22.4252,13.8000,-303.5028,-22.2794,13.7103,-301.5302
A4,-18.5518,25.5350,-302.9881,-18.4312,25.3690,-301.0188
A8,-12.3631,34.0890,-302.5193,-12.2828,33.8675,-300.5534
A9,0.0000,34.1090,-302.6971,0.0000,33.8873,-300.7296
A10,12.3597,34.0800,-302.4363,12.2794,33.8585,-300.4704
B7,24.7050,34.0040,-301.7623,24.5444,33.7830,-299.8012
B8,28.5918,22.2860,-302.4326,28.4059,22.1411,-300.4667
B9,32.4383,10.5400,-302.6863,32.2274,10.4715,-300.7188
B10,36.2433,-1.2230,-302.5404,36.0078,-1.2151,-300.5745
C7,39.9719,-12.9870,-301.7501,39.7121,-12.9026,-299.7890
C8,30.0385,-20.3110,-302.5160,29.8433,-20.1790,-300.5501
C9,20.0485,-27.5940,-302.6948,19.9182,-27.4146,-300.7273
C10,10.0319,-34.8340,-302.4282,9.9667,-34.6076,-300.4623
D7,0.0000,-42.0330,-301.7832,0.0000,-41.7599,-299.8221
D8,-10.0319,-34.8340,-302.4275,-9.9667,-34.6076,-300.4616
D9,-20.0484,-27.5940,-302.6932,-19.9181,-27.4146,-300.7257
D10,-30.0391,-20.3120,-302.5216,-29.8439,-20.1800,-300.5557
E7,-39.9718,-12.9870,-301.7497,-39.7120,-12.9026,-299.7886
E8,-36.2339,-1.2230,-302.4619,-35.9984,-1.2151,-300.4960
E9,-32.4465,10.5430,-302.7628,-32.2356,10.4745,-300.7953
E10,-28.5945,22.2880,-302.4609,-28.4086,22.1431,-300.4950
A7,-24.7037,34.0020,-301.7466,-24.5431,33.7810,-299.7855
A12,-18.5517,42.6440,-301.0493,-18.4311,42.3668,-299.0925
A13,-6.1956,42.7120,-301.6270,-6.1553,42.4344,-299.6670
A14,6.1934,42.6960,-301.5179,6.1531,42.4185,-299.5579
A15,18.5515,42.6440,-301.0458,18.4309,42.3668,-299.0890
B11,30.8141,42.4130,-300.0143,30.6138,42.1373,-298.0639
B12,34.8214,30.8200,-301.0265,34.5950,30.6197,-299.0697
B13,38.7033,19.0900,-301.6032,38.4518,18.9659,-299.6432
B14,42.5252,7.3050,-301.5540,42.2488,7.2575,-299.5940
B15,46.2913,-4.4660,-301.0604,45.9904,-4.4370,-299.1036
C11,49.8678,-16.2030,-300.0718,49.5437,-16.0977,-298.1214
C12,40.0663,-23.5900,-300.9901,39.8058,-23.4366,-299.0333
C13,30.1101,-30.9050,-301.5528,29.9144,-30.7041,-299.5928
C14,20.0893,-38.1890,-301.5758,19.9587,-37.9408,-299.6158
C15,10.0559,-45.3990,-301.0214,9.9905,-45.1039,-299.0646
D11,0.0000,-52.4320,-300.0608,0.0000,-52.0912,-298.1104
D12,-10.0563,-45.4010,-301.0329,-9.9909,-45.1059,-299.0761
D13,-20.0894,-38.1890,-301.5775,-19.9588,-37.9408,-299.6175
D14,-30.1099,-30.9050,-301.5516,-29.9142,-30.7041,-299.5916
D15,-40.0742,-23.5950,-301.0498,-39.8137,-23.4416,-299.0930
E11,-49.8682,-16.2030,-300.0744,-49.5441,-16.0977,-298.1240
E12,-46.2899,-4.4660,-301.0509,-45.9890,-4.4370,-299.0941
E13,-42.5331,7.3060,-301.6106,-42.2567,7.2585,-299.6506
E14,-38.6943,19.0860,-301.5331,-38.4428,18.9619,-299.5731
E15,-34.8250,30.8230,-301.0576,-34.5986,30.6227,-299.1008
A11,-30.8179,42.4180,-300.0512,-30.6176,42.1423,-298.1008
A17,-24.6582,51.0500,-299.2533,-24.4979,50.7181,-297.3079
A18,-12.3794,51.2350,-300.0001,-12.2989,50.9020,-298.0500
A19,0.0000,51.2920,-300.3342,0.0000,50.9587,-298.3825
