主索节点1,主索节点2,主索节点3
A0,B1,C1
A0,B1,A1
A0,C1,D1
A0,D1,E1
A0,E1,A1
B1,C1,B3
B1,A1,A3
B1,A3,B2
B1,B2,B3
C1,D1,C3
C1,B3,C2
C1,C2,C3
D1,E1,D3
D1,C3,D2
D1,D2,D3
E1,A1,E3
E1,D3,E2
E1,E2,E3
A1,A3,A2
A1,E3,A2
A3,B2,A6
A3,A2,A5
A3,A5,A6
B2,B3,B5
B2,A6,B4
B2,B4,B5
B3,C2,B6
B3,B5,B6
C2,C3,C5
C2,B6,C4
C2,C4,C5
C3,D2,C6
C3,C5,C6
D2,D3,D5
D2,C6,D4
D2,D4,D5
D3,E2,D6
D3,D5,D6
E2,E3,E5
E2,D6,E4
E2,E4,E5
E3,A2,E6
E3,E5,E6
A2,A5,A4
A2,E6,A4
A5,A6,A9
A5,A4,A8
A5,A8,A9
A6,B4,A10
A6,A9,A10
B4,B5,B8
B4,A10,B7
B4,B7,B8
B5,B6,B9
B5,B8,B9
B6,C4,B10
B6,B9,B10
C4,C5,C8
C4,B10,C7
C4,C7,C8
C5,C6,C9
C5,C8,C9
C6,D4,C10
C6,C9,C10
D4,D5,D8
D4,C10,D7
D4,D7,D8
D5,D6,D9
D5,D8,D9
D6,E4,D10
D6,D9,D10
E4,E5,E8
E4,D10,E7
E4,E7,E8
E5,E6,E9
E5,E8,E9
E6,A4,E10
E6,E9,E10
A4,A8,A7
A4,E10,A7
A8,A9,A13
A8,A7,A12
A8,A12,A13
A9,A10,A14
A9,A13,A14
A10,B7,A15
A10,A14,A15
B7,B8,B12
B7,A15,B11
B7,B11,B12
B8,B9,B13
B8,B12,B13
B9,B10,B14
B9,B13,B14
B10,C7,B15
B10,B14,B15
C7,C8,C12
C7,B15,C11
C7,C11,C12
C8,C9,C13
C8,C12,C13
C9,C10,C14
C9,C13,C14
C10,D7,C15
C10,C14,C15
D7,D8,D12
D7,C15,D11
D7,D11,D12
D8,D9,D13
D8,D12,D13
D9,D10,D14
D9,D13,D14
D10,E7,D15
D10,D14,D15
E7,E8,E12
E7,D15,E11
E7,E11,E12
E8,E9,E13
E8,E12,E13
E9,E10,E14
E9,E13,E14
E10,A7,E15
E10,E14,E15
A7,A12,A11
A7,E15,A11
A12,A13,A18
A12,A11,A17
A12,A17,A18
A13,A14,A19
A13,A18,A19
A14,A15,A20
A14,A19,A20
A15,B11,A21
A15,A20,A21
B11,B12,B17
B11,A21,B16
B11,B16,B17
B12,B13,B18
B12,B17,B18
B13,B14,B19
B13,B18,B19
B14,B15,B20
B14,B19,B20
B15,C11,B21
B15,B20,B21
C11,C12,C17
C11,B21,C16
C11,C16,C17
C12,C13,C18
C12,C17,C18
C13,C14,C19
C13,C18,C19
C14,C15,C20
C14,C19,C20
C15,D11,C21
C15,C20,C21
D11,D12,D17
D11,C21,D16
D11,D16,D17
D12,D13,D18
D12,D17,D18
D13,D14,D19
D13,D18,D19
D14,D15,D20
D14,D19,D20
D15,E11,D21
D15,D20,D21
E11,E12,E17
E11,D21,E16
E11,E16,E17
E12,E13,E18
E12,E17,E18
E13,E14,E19
E13,E18,E19
E14,E15,E20
E14,E19,E20
E15,A11,E21
E15,E20,E21
A11,A17,A16
A11,E21,A16
A17,A18,A24
A17,A16,A23
A17,A23,A24
A18,A19,A25
A18,A24,A25
A19,A20,A26
A19,A25,A26
A20,A21,A27
A20,A26,A27
A21,B16,A28
A21,A27,A28
B16,B17,B23
B16,A28,B22
B16,B22,B23
B17,B18,B24
B17,B23,B24
B18,B19,B25
B18,B24,B25
B19,B20,B26
B19,B25,B26
B20,B21,B27
B20,B26,B27
B21,C16,B28
B21,B27,B28
C16,C17,C23
C16,B28,C22
C16,C22,C23
C17,C18,C24
C17,C23,C24
C18,C19,C25
C18,C24,C25
C19,C20,C26
C19,C25,C26
C20,C21,C27
C20,C26,C27
C21,D16,C28
C21,C27,C28
D16,D17,D23
D16,C28,D22
D16,D22,D23
D17,D18,D24
D17,D23,D24
D18,D19,D25
D18,D24,D25
D19,D20,D26
D19,D25,D26
D20,D21,D27
D20,D26,D27
D21,E16,D28
D21,D27,D28
E16,E17,E23
E16,D28,E22
E16,E22,E23
E17,E18,E24
E17,E23,E24
E18,E19,E25
E18,E24,E25
E19,E20,E26
E19,E25,E26
E20,E21,E27
E20,E26,E27
E21,A16,E28
E21,E27,E28
A16,A23,A22
A16,E28,A22
A23,A24,A31
A23,A22,A30
A23,A30,A31
A24,A25,A32
A24,A31,A32
A25,A26,A33
A25,A32,A33
A26,A27,A34
A26,A33,A34
A27,A28,A35
A27,A34,A35
A28,B22,A36
A28,A35,A36
B22,B23,B30
B22,A36,B29
B22,B29,B30
B23,B24,B31
B23,B30,B31
B24,B25,B32
B24,B31,B32
B25,B26,B33
B25,B32,B33
B26,B27,B34
B26,B33,B34
