自行车序号: 1,出发区域: 8
出发时间：468.28,到达时间：471.67,到达区域:10
出发时间：569.13,到达时间：580.61,到达区域: 2
出发时间：655.88,到达时间：669.49,到达区域: 6
出发时间：724.07,到达时间：728.71,到达区域: 8
出发时间：778.06,到达时间：782.69,到达区域: 6
出发时间：877.31,到达时间：891.67,到达区域:10
自行车序号: 2,出发区域: 1
出发时间：463.23,到达时间：473.56,到达区域: 8
出发时间：482.00,到达时间：486.27,到达区域: 4
出发时间：572.77,到达时间：576.71,到达区域: 8
出发时间：610.74,到达时间：615.33,到达区域: 4
出发时间：620.65,到达时间：631.31,到达区域:10
出发时间：658.01,到达时间：665.38,到达区域: 3
出发时间：736.58,到达时间：744.81,到达区域: 5
出发时间：773.68,到达时间：787.33,到达区域: 2
出发时间：803.59,到达时间：813.95,到达区域: 7
自行车序号: 3,出发区域: 4
出发时间：370.30,到达时间：376.91,到达区域: 6
出发时间：461.10,到达时间：465.06,到达区域: 8
出发时间：499.86,到达时间：510.56,到达区域: 1
出发时间：550.25,到达时间：561.46,到达区域: 9
出发时间：607.46,到达时间：620.23,到达区域: 1
出发时间：699.69,到达时间：712.34,到达区域: 9
出发时间：727.32,到达时间：732.40,到达区域: 6
出发时间：826.12,到达时间：837.60,到达区域: 2
出发时间：922.65,到达时间：932.95,到达区域: 1
出发时间：951.25,到达时间：958.99,到达区域: 5
出发时间：1004.54,到达时间：1008.90,到达区域: 4
出发时间：1067.72,到达时间：1081.87,到达区域: 3
出发时间：1161.33,到达时间：1175.90,到达区域: 7
出发时间：1244.92,到达时间：1248.95,到达区域: 8
出发时间：1289.57,到达时间：1298.74,到达区域: 2
自行车序号: 4,出发区域: 6
出发时间：409.15,到达时间：413.73,到达区域: 8
出发时间：451.65,到达时间：455.46,到达区域: 3
出发时间：538.92,到达时间：545.83,到达区域:10
出发时间：635.21,到达时间：643.06,到达区域: 1
出发时间：720.73,到达时间：731.21,到达区域: 8
出发时间：797.47,到达时间：809.47,到达区域: 9
出发时间：842.22,到达时间：847.44,到达区域: 6
出发时间：909.52,到达时间：914.27,到达区域: 9
出发时间：995.54,到达时间：1000.22,到达区域:10
自行车序号: 5,出发区域:10
出发时间：464.10,到达时间：476.60,到达区域: 6
出发时间：481.70,到达时间：494.59,到达区域: 2
出发时间：534.99,到达时间：540.02,到达区域: 3
出发时间：565.08,到达时间：571.71,到达区域:10
出发时间：602.15,到达时间：610.47,到达区域: 1
出发时间：699.48,到达时间：706.95,到达区域: 5
出发时间：760.95,到达时间：772.25,到达区域: 7
自行车序号: 6,出发区域: 5
出发时间：469.05,到达时间：477.60,到达区域: 3
出发时间：520.54,到达时间：535.46,到达区域: 1
出发时间：568.41,到达时间：578.26,到达区域: 2
出发时间：648.40,到达时间：661.37,到达区域: 6
出发时间：688.60,到达时间：698.33,到达区域: 1
出发时间：760.05,到达时间：775.29,到达区域: 3
出发时间：864.65,到达时间：878.27,到达区域: 4
出发时间：890.39,到达时间：894.26,到达区域: 5
出发时间：960.86,到达时间：972.92,到达区域: 7
出发时间：1062.19,到达时间：1074.47,到达区域:10
自行车序号: 7,出发区域: 4
出发时间：413.39,到达时间：417.48,到达区域: 5
出发时间：517.03,到达时间：530.67,到达区域: 2
出发时间：615.40,到达时间：620.62,到达区域: 3
出发时间：654.28,到达时间：666.84,到达区域: 4
出发时间：720.08,到达时间：732.14,到达区域:10
出发时间：776.49,到达时间：784.99,到达区域: 1
出发时间：855.64,到达时间：866.25,到达区域: 2
出发时间：959.96,到达时间：969.77,到达区域: 7
出发时间：1030.16,到达时间：1044.24,到达区域:10
出发时间：1060.18,到达时间：1065.02,到达区域: 9
出发时间：1156.61,到达时间：1162.26,到达区域: 6
自行车序号: 8,出发区域:10
出发时间：436.11,到达时间：448.98,到达区域: 5
出发时间：519.26,到达时间：528.91,到达区域: 3
出发时间：553.51,到达时间：568.91,到达区域: 1
出发时间：594.31,到达时间：604.52,到达区域: 2
出发时间：673.79,到达时间：682.80,到达区域: 8
出发时间：687.89,到达时间：691.94,到达区域: 7
出发时间：750.35,到达时间：761.30,到达区域: 2
出发时间：773.84,到达时间：778.60,到达区域: 3
出发时间：848.18,到达时间：860.98,到达区域: 4
出发时间：938.74,到达时间：950.15,到达区域: 7
出发时间：998.80,到达时间：1012.44,到达区域:10
出发时间：1079.44,到达时间：1093.98,到达区域: 5
出发时间：1184.91,到达时间：1197.92,到达区域: 7
出发时间：1252.28,到达时间：1256.31,到达区域: 8
出发时间：1294.04,到达时间：1301.89,到达区域: 2
出发时间：1308.85,到达时间：1318.34,到达区域: 7
出发时间：1387.36,到达时间：1397.69,到达区域: 1
自行车序号: 9,出发区域: 1
出发时间：451.80,到达时间：461.26,到达区域: 2
出发时间：473.94,到达时间：478.79,到达区域: 3
出发时间：534.37,到达时间：549.50,到达区域: 9
出发时间：562.68,到达时间：577.12,到达区域: 3
出发时间：608.55,到达时间：613.30,到达区域: 2
出发时间：701.02,到达时间：706.14,到达区域: 3
出发时间：766.07,到达时间：770.36,到达区域: 8
出发时间：795.11,到达时间：798.43,到达区域:10
出发时间：808.98,到达时间：822.01,到达区域: 7
自行车序号:10,出发区域: 3
出发时间：404.16,到达时间：417.05,到达区域: 9
出发时间：506.64,到达时间：511.64,到达区域: 6
出发时间：609.49,到达时间：618.23,到达区域: 1
出发时间：677.17,到达时间：691.49,到达区域: 3
出发时间：783.77,到达时间：788.16,到达区域: 8
出发时间：797.61,到达时间：802.34,到达区域: 7
出发时间：833.03,到达时间：846.11,到达区域: 4
出发时间：906.86,到达时间：910.84,到达区域: 8
自行车序号:11,出发区域:10
出发时间：414.30,到达时间：427.97,到达区域: 5
出发时间：516.89,到达时间：526.32,到达区域: 3
出发时间：605.79,到达时间：620.54,到达区域: 4
出发时间：707.09,到达时间：717.23,到达区域: 1
出发时间：776.97,到达时间：784.85,到达区域:10
自行车序号:12,出发区域: 3
出发时间：376.73,到达时间：390.43,到达区域: 7
出发时间：456.95,到达时间：471.82,到达区域: 3
出发时间：540.89,到达时间：554.52,到达区域: 4
出发时间：622.89,到达时间：627.02,到达区域: 5
出发时间：636.72,到达时间：651.32,到达区域:10
出发时间：657.09,到达时间：668.37,到达区域: 4
出发时间：764.52,到达时间：768.63,到达区域: 5
