1													
0.366	1												
0.242	0.233	1											
0.28	0.194	0.59	1										
0.36	0.324	0.476	0.435	1									
0.282	0.262	0.483	0.47	0.452	1								
0.245	0.265	0.54	0.478	0.535	0.663	1							
0.448	0.345	0.452	0.404	0.431	0.322	0.266	1						
0.486	0.367	0.365	0.357	0.429	0.283	0.287	0.82	1					
0.648	0.662	0.216	0.032	0.429	0.283	0.263	0.527	0.547	1				
0.689	0.671	0.243	0.313	0.43	0.302	0.294	0.52	0.558	0.957	1			
0.486	0.636	0.174	0.243	0.375	0.296	0.255	0.403	0.417	0.857	0.852	1		
0.133	0.153	0.732	0.477	0.339	0.392	0.446	0.266	0.241	0.054	0.099	0.055	1	
0.376	0.252	0.676	0.581	0.441	0.447	0.44	0.424	0.372	0.363	0.376	0.321	0.627	1
